Callsign,Station Name,State,City,Postcode,Community of Interest,Suitability for Love Banana,Music Receptive,Submission Method,Contact Email,Website / Portal URL,Recommended Action,Notes
2AAA,2AAA,NSW,WAGGA WAGGA,2650,General,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,triplea@tripleafm.net.au,https://tripleafm.net.au/,Pitch directly to Music Department (triplea@tripleafm.net.au),Pitch directly to Music Coordinator (triplea@tripleafm.net.au) — Riverina community radio.
2BBB,2BBB FM,NSW,BELLINGEN,2454,General,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,music@2bbb.net.au,http://www.2bbb.net.au/,Pitch directly to Music Department (music@2bbb.net.au),Pitch directly to Music Director (music@2bbb.net.au) — Bellingen Mid North Coast community radio. Very receptive to indie bands touring the east coast.
2BOB,2BOB RADIO,NSW,TAREE,2430,General,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,info@2bobradio.org.au,http://www.2bobradio.org.au,Pitch directly to Music Department (info@2bobradio.org.au),Pitch directly to Music Team (info@2bobradio.org.au) — One of NSW's oldest community radio stations. Proudly independent.
2DRY,2DRY FM,NSW,BROKEN HILL,2880,General,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,info@2dryfm.com,http://www.2dryfm.com/,Pitch directly to Music Department (info@2dryfm.com),Pitch directly to Music Coordinator / Program Director (info@2dryfm.com) — Far West NSW community station with an adventurous alternative music policy.
2EAR,2EAR FM 107.5 & 102.9,NSW,MORUYA,2537,General,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,info@2earfm.au,https://2earfm.au/,Pitch directly to Music Department (info@2earfm.au),Pitch directly to Music Coordinator (info@2earfm.au) — Eurobodalla South Coast community station.
2MCE,2MCE,NSW,BATHURST,2795,General,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,2mce@csu.edu.au,https://2mce.org/,Pitch directly to Music Department (2mce@csu.edu.au),Pitch directly to Music Director / Station Team (2mce@csu.edu.au) — Charles Sturt University station broadcasting to Central West NSW. Great indie programming.
2NUR,2NURFM 103.7,NSW,CALLAGHAN,2308,General,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,music@2nurfm.com.au,http://www.2nurfm.com.au,Pitch directly to Music Department (music@2nurfm.com.au),Pitch directly to Music Coordinator (music@2nurfm.com.au) — University of Newcastle community station. Big reach across Newcastle and the Hunter.
2WAY,2WAY 103.9 FM,NSW,WAUCHOPE,2446,General,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,contact@2wayfm.com.au,http://2wayfm.com.au,Pitch directly to Music Department (contact@2wayfm.com.au),Pitch directly to Music Submissions (contact@2wayfm.com.au) — Hastings / Port Macquarie community radio.
2YOU,88.9FM,NSW,North Tamworth,2340,General,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,admin@889fmtamworth.com.au,http://www.889fmtamworth.com.au,Pitch directly to Music Department (admin@889fmtamworth.com.au),Pitch directly to Music Submissions (admin@889fmtamworth.com.au) — Tamworth community broadcaster.
2SFM,97.5 Sapphire FM,NSW,MERIMBULA,2548,General,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,info@sapphirefm.au,https://sapphirefm.au/,Pitch directly to Music Department (info@sapphirefm.au),Pitch directly to Music Director (info@sapphirefm.au) — Far South Coast NSW community radio.
2ARM,Armidale Community Radio - 2ARM FM92.1,NSW,ARMIDALE,2350,General,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,admin@2arm.net.au,http://www.2arm.net.au,Pitch directly to Music Department (admin@2arm.net.au),Pitch directly to Station Management (admin@2arm.net.au) — New England community broadcaster.
2CCC,Coast FM 96.3,NSW,GOSFORD,2250,General,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,music@coastfm.org.au,http://www.coastfm.org.au,Pitch directly to Music Department (music@coastfm.org.au),Pitch directly to Music Department (music@coastfm.org.au) — Central Coast community broadcaster. Supports touring NSW bands.
2GLA,Great Lakes FM,NSW,TUNCURRY,2428,General,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,manager@greatlakesfm.org.au,http://www.greatlakesfm.org.au,Pitch directly to Music Department (manager@greatlakesfm.org.au),Pitch directly to Station Management (manager@greatlakesfm.org.au) — Mid North Coast regional broadcaster.
2WKT,Highland FM 107.1,NSW,BOWRAL,2576,General,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,music@highlandfm.org.au,http://www.highlandfm.org.au,Pitch directly to Music Department (music@highlandfm.org.au),Pitch directly to Music Director (music@highlandfm.org.au) — Known for their 100% Homegrown Australian music showcases and artist interviews.
2NIM,NIM FM 102.3,NSW,NIMBIN,2480,General,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,nimfm.radio@gmail.com,http://www.nimfm.org,Pitch directly to Music Department (nimfm.radio@gmail.com),Pitch directly to Music Team (nimfm.radio@gmail.com) — Nimbin community radio. Very open to fuzzy garage and psych-pop sounds.
2HWK,Pulse FM,NSW,Wollongong,2500,General,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,info@pulse899fm.com.au,https://pulse899fm.com.au/,Pitch directly to Music Department (info@pulse899fm.com.au),Pitch directly to Music Submissions (info@pulse899fm.com.au) — Wollongong youth/contemporary station.
2QBN,QBN FM 96.7,NSW,QUEANBEYAN,2620,General,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,info@qbnfm.com.au,http://www.qbnfm.com.au,Pitch directly to Music Department (info@qbnfm.com.au),Pitch directly to Music Submissions (info@qbnfm.com.au) — Queanbeyan and ACT region.
2BLU,RBM FM - 89.1 Radio Blue Mountains,NSW,WENTWORTH FALLS,2782,General,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,manager@rbm.org.au,http://www.rbm.org.au,Pitch directly to Music Department (manager@rbm.org.au),Pitch directly to Station Coordinator (manager@rbm.org.au) — Blue Mountains regional station. Very supportive of NSW indie acts.
2NCR,River FM - 92.9,NSW,LISMORE,2480,General,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,info@2ncr.org.au,http://www.2ncr.org.au,Pitch directly to Music Department (info@2ncr.org.au),Pitch directly to Station Team (info@2ncr.org.au) — Northern Rivers community radio station.
2WET,TANK FM,NSW,WEST KEMPSEY,2440,General,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,info@tankfm.org,https://tankfm.org/,Pitch directly to Music Department (info@tankfm.org),Pitch directly to Music Team (info@tankfm.org) — Kempsey Macleay Valley community station.
2UUU,Triple U FM,NSW,NOWRA,2541,General,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,admin@tripleu.org.au,https://www.tripleu.org.au/,Pitch directly to Music Department (admin@tripleu.org.au),Pitch directly to Station Administration (admin@tripleu.org.au) — Shoalhaven South Coast community radio.
Online Only,Tune FM,NSW,ARMIDALE,2351,Student / Youth,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,music@tunefm.net,http://www.tunefm.net,Pitch directly to Music Department (music@tunefm.net),Pitch directly to Music Director (music@tunefm.net) — Australia's oldest university radio station (UNE). Passionate about new Aussie alternative music.
2VOX,VOX FM,NSW,WOLLONGONG DC,2500,General,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,voxfm@voxfm.org.au,http://www.voxfm.org.au,Pitch directly to Music Department (voxfm@voxfm.org.au),Pitch directly to Music Submissions (voxfm@voxfm.org.au) — Illawarra community radio station. Active music programming.
2YAS,Yass FM,NSW,YASS,2582,General,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,info@yassfm.org,http://www.yassfm.org,Pitch directly to Music Department (info@yassfm.org),Pitch directly to Music Coordinator (info@yassfm.org) — Southern Tablelands community broadcaster.
8CCC,8CCC Radio 102.1FM,NT,ALICE SPRINGS,0871,General,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,music@8ccc.com.au,http://www.8ccc.com.au/,Pitch directly to Music Department (music@8ccc.com.au),"Pitch directly to Music Coordinator (music@8ccc.com.au) — Broadcasting across Central Australia. Hugely receptive to quirky, upbeat Australian independent rock and pop."
8EAR,Gove FM,NT,NHULUNBUY,0881,General,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,admin@govefm.com.au,http://www.govefm.com.au,Pitch directly to Music Department (admin@govefm.com.au),Pitch directly to Station Management (admin@govefm.com.au) — Isolated Arnhem Land community radio with high engagement.
8TFM,Territory FM,NT,DARWIN,0909,General,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,music@territoryfm.com,http://www.territoryfm.com,Pitch directly to Music Department (music@territoryfm.com),Pitch directly to Music Director (music@territoryfm.com) — Charles Darwin University community station. High profile across Darwin and Palmerston.
4OUR,101.5FM Moreton Bay's Own,QLD,CABOOLTURE,4510,General,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,music@1015fm.com.au,http://www.1015fm.com.au,Pitch directly to Music Department (music@1015fm.com.au),Pitch directly to Music Coordinator (music@1015fm.com.au) — Caboolture and northern Moreton Bay.
4TTT,103.9 Triple t,QLD,TOWNSVILLE,4810,General,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,info@triplet.com.au,http://www.triplet.com.au,Pitch directly to Music Department (info@triplet.com.au),Pitch directly to Station Management (info@triplet.com.au) — Townsville regional community radio.
4MET,105.7 Radio Metro,QLD,BUNDALL MAIL CENTRE,9726,Youth,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,music@radiometro.com.au,http://www.radiometro.com.au,Pitch directly to Music Department (music@radiometro.com.au),Pitch directly to Music Director (music@radiometro.com.au) — Gold Coast youth station.
4CRM,4CRM 107.5 FM,QLD,MACKAY,4740,General,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,admin@4crm.com.au,http://www.4crm.com.au,Pitch directly to Music Department (admin@4crm.com.au),Pitch directly to Music Team (admin@4crm.com.au) — Mackay regional broadcaster.
4ZZZ,4ZZZ,QLD,FORTITUDE VALLEY,4006,Educational/Specialised Music,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,music@4zzz.org.au,http://www.4zzz.org.au,Pitch directly to Music Department (music@4zzz.org.au),Pitch directly to Music Coordinator (music@4zzz.org.au) — Legendary Brisbane alternative station. Has already spun Love Banana 7-inch. Perfect fit for 'Seagull'.
4RED,99.7 Bridge FM,QLD,REDCLIFFE,4020,General,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,music@997fm.com.au,http://www.997fm.com.au,Pitch directly to Music Department (music@997fm.com.au),Pitch directly to Music Department (music@997fm.com.au) — Moreton Bay region station with good local music support.
4CCR,Cairns FM 89.1,QLD,MANUNDA,4870,General,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,music@cairnsfm891.org.au,http://www.cairnsfm891.org.au,Pitch directly to Music Department (music@cairnsfm891.org.au),Pitch directly to Music Submissions (music@cairnsfm891.org.au) — Far North Queensland community broadcaster.
4FCR,Fraser Coast FM 107.5,QLD,HERVEY BAY,4655,General,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,music@frasercoast.fm,http://www.frasercoast.fm,Pitch directly to Music Department (music@frasercoast.fm),Pitch directly to Music Coordinator (music@frasercoast.fm) — Fraser Coast / Hervey Bay community station.
4NSA,Noosa FM 101.3,QLD,NOOSA HEADS,4567,General,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,music@noosafm.org,http://www.noosafm.org/,Pitch directly to Music Department (music@noosafm.org),Pitch directly to Music Director (music@noosafm.org) — Sunshine Coast community station. Sunny garage-pop vibes fit very well.
4BI,Switch Brisbane,QLD,Toowong,4066,Youth,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,music@switchbrisbane.com.au,https://switchbrisbane.com.au/,Pitch directly to Music Department (music@switchbrisbane.com.au),Pitch directly to Music Director (music@switchbrisbane.com.au) — Brisbane's youth community station. Strong focus on emerging Aussie artists.
5CST,Adelaide's Coast FM 88.7,SA,GLANDORE,5037,General,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,info@coastfm.com.au,http://www.coastfm.com.au,Pitch directly to Music Department (info@coastfm.com.au),Pitch directly to Music Department (info@coastfm.com.au) — Southern Adelaide community radio station.
5LCM,Lofty 88.9,SA,Totness,5250,General,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,music@lofty.org.au,http://lofty.org.au/,Pitch directly to Music Department (music@lofty.org.au),Pitch directly to Music Submissions (music@lofty.org.au) — Adelaide Hills community radio. Loves independent Australian talent.
5PBA,PBA-FM,SA,SALISBURY,5108,General,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,pbafm@pbafm.org.au,http://www.pbafm.org.au/,Pitch directly to Music Department (pbafm@pbafm.org.au),Pitch directly to Music Team (pbafm@pbafm.org.au) — Northern suburbs Adelaide community radio.
5UV,Radio Adelaide,SA,Eastwood,5063,Educational,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,music@radioadelaide.org.au,http://radioadelaide.org.au/,Pitch directly to Music Department (music@radioadelaide.org.au),Pitch directly to Music Coordinator (music@radioadelaide.org.au) — Australia's first community station (est. 1972). Dedicated focus on indie and Australian music.
5DDD,Three D Radio,SA,STEPNEY,5069,Specialised Music,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,music@threedradio.com,http://www.threedradio.com,Pitch directly to Music Department (music@threedradio.com),Pitch directly to Music Director / Submissions (music@threedradio.com) — One of Australia's purest independent alternative music stations. Minimum 40% Australian music policy. Admires Mikey Young.
,Tribe FM 91.1,SA,WILLUNGA,5172,General,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,music@tribefm.org.au,http://www.tribefm.org.au/,Pitch directly to Music Department (music@tribefm.org.au),Pitch directly to Music Coordinator (music@tribefm.org.au) — Fleurieu Peninsula community station. Strong indie music enthusiast presenters.
5WOW,WOW FM 100.5,SA,SEMAPHORE,5019,General,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,admin@wowfm.org,https://wowfm.org/,Pitch directly to Music Department (admin@wowfm.org),Pitch directly to Music Team (admin@wowfm.org) — Western suburbs / Port Adelaide community broadcaster.
7LTN,City Park Radio,TAS,LAUNCESTON,7250,General,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,cityparkradio@internode.on.net,http://www.cityparkradio.com,Pitch directly to Music Department (cityparkradio@internode.on.net),Pitch directly to Music Submissions (cityparkradio@internode.on.net) — Northern Tasmania's primary community broadcaster.
7DBS,Coast FM,TAS,WYNYARD,7325,General,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,coastfm@coastfmtas.au,http://www.coastfmtas.au,Pitch directly to Music Department (coastfm@coastfmtas.au),Pitch directly to Music Team (coastfm@coastfmtas.au) — North-West Tasmania community broadcaster.
7EDG,Edge Radio 99.3 FM,TAS,HOBART,7000,Youth,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,music@edgeradio.org.au,http://www.edgeradio.org.au,Pitch directly to Music Department (music@edgeradio.org.au),Pitch directly to Music Director (music@edgeradio.org.au) — Hobart's youth and student broadcaster (Univ of Tasmania). Massive supporter of emerging Australian indie/garage sounds.
7THE,Hobart FM 96.1,TAS,Howrah,7018,General,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,hobartfm@hobartfm.org.au,http://www.hobartfm.org.au,Pitch directly to Music Department (hobartfm@hobartfm.org.au),Pitch directly to Music Department (hobartfm@hobartfm.org.au) — Southern Tasmania community station.
3PFM,106.7 Phoenix FM Bendigo,VIC,CALIFORNIA GULLY,3556,General,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,info@phoenixfm.org.au,http://www.phoenixfm.org.au,Pitch directly to Music Department (info@phoenixfm.org.au),Pitch directly to Music Team (info@phoenixfm.org.au) — Bendigo community radio.
3WAY,3 WAY FM Great Ocean Radio,VIC,WARRNAMBOOL,3280,General,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,info@3wayfm.org.au,http://www.3wayfm.org.au/,Pitch directly to Music Department (info@3wayfm.org.au),Pitch directly to Music Submissions (info@3wayfm.org.au) — South West Victoria coastal community radio.
3BBR,3BBR-FM,VIC,DROUIN,3818,General,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,3bbrfm@3bbrfm.org.au,http://www.3bbrfm.org.au,Pitch directly to Music Department (3bbrfm@3bbrfm.org.au),Pitch directly to Music Submissions (3bbrfm@3bbrfm.org.au) — West Gippsland community station.
3CR,3CR,VIC,COLLINGWOOD,3066,Community Access,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,admin@3cr.org.au,http://www.3cr.org.au,Pitch directly to Music Department (admin@3cr.org.au),Pitch directly to Music & Programming (admin@3cr.org.au) — Long-running progressive community radio in Collingwood. Independent music shows.
3MDR,3MDR,VIC,UPWEY,3158,General,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,music@3mdr.com,http://www.3mdr.com,Pitch directly to Music Department (music@3mdr.com),Pitch directly to Music Department (music@3mdr.com) — Mountain District Radio in the Dandenongs. Passionate community of music presenters championing Aussie releases.
3WBC,3WBC 94.1FM,VIC,Box Hill,3128,General,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,music@3wbc.org.au,http://www.3wbc.org.au,Pitch directly to Music Department (music@3wbc.org.au),Pitch directly to Music Director (music@3wbc.org.au) — Inner Eastern Melbourne community station.
3SCB,88.3 Southern FM,VIC,BRIGHTON,3186,General,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,music@southernfm.com.au,http://www.southernfm.com.au/,Pitch directly to Music Department (music@southernfm.com.au),Pitch directly to Music Director (music@southernfm.com.au) — Bayside Melbourne community station with dedicated local music programming.
3PLS,94.7 The Pulse,VIC,GEELONG,3220,General,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,music@947thepulse.com,http://www.947thepulse.com,Pitch directly to Music Department (music@947thepulse.com),Pitch directly to Music Submissions (music@947thepulse.com) — Geelong community radio station. Active music programming for Greater Geelong and the Bellarine.
3SER,Casey Radio,VIC,CRANBOURNE,3977,General,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,music@caseyradio.com.au,http://www.caseyradio.com.au,Pitch directly to Music Department (music@caseyradio.com.au),Pitch directly to Music Director (music@caseyradio.com.au) — South-East Melbourne community broadcaster.
3GCR,Gippsland FM,VIC,Morwell,3840,General,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,info@gippslandfm.org.au,http://www.gippslandfm.org.au,Pitch directly to Music Department (info@gippslandfm.org.au),Pitch directly to Music Submissions (info@gippslandfm.org.au) — Serving Central and East Gippsland.
3CH,Highlands FM,VIC,WOODEND,3442,General,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,info@highlandsfm.org.au,http://www.highlandsfm.org.au,Pitch directly to Music Department (info@highlandsfm.org.au),Pitch directly to Music Coordinator (info@highlandsfm.org.au) — Macedon Ranges community radio.
3JOY,JOY Media,VIC,St Kilda,3182,LGBTIQA+,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,music@joy.org.au,http://www.joy.org.au,Pitch directly to Music Department (music@joy.org.au),"Pitch directly to Music Director (music@joy.org.au) — Australia's premier LGBTIQA+ broadcaster. Plays vibrant pop, indie-pop, and upbeat indie singles."
3CMR,MAINfm,VIC,CASTLEMAINE,3450,General,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,music@mainfm.net,http://mainfm.net/,Pitch directly to Music Department (music@mainfm.net),Pitch directly to Music Coordinator (music@mainfm.net) — Castlemaine has one of the highest concentrations of indie musicians in regional Australia. MAINfm is revered by touring bands.
3OCR,OCR FM,VIC,COLAC,3250,General,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,admin@ocrfm.org.au,http://www.ocrfm.org.au/,Pitch directly to Music Department (admin@ocrfm.org.au),Pitch directly to Music Department (admin@ocrfm.org.au) — Otway region community broadcaster.
3ONE,OneFM 98.5,VIC,SHEPPARTON,3632,General,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,admin@fm985.com.au,http://www.fm985.com.au/,Pitch directly to Music Department (admin@fm985.com.au),Pitch directly to Music Submissions (admin@fm985.com.au) — Goulburn Valley community radio.
3PBS,PBS,VIC,FITZROY,3065,Specialised Music,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,music@pbsfm.org.au,http://www.pbsfm.org.au,Pitch directly to Music Department (music@pbsfm.org.au),Pitch directly to Music Director (music@pbsfm.org.au) — Collingwood-based music powerhouse. Specialist programming has massive love for scuzzy rock & roll and garage pop.
3MFM,South Coast FM,VIC,WONTHAGGI,3995,General,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,info@southcoastfm.au,https://southcoastfm.au/,Pitch directly to Music Department (info@southcoastfm.au),Pitch directly to Station Management (info@southcoastfm.au) — Bass Coast and South Gippsland.
