Callsign,Station Name,State,City,Postcode,Region / Pitch Category,Contact Email,Website URL,Format & Fit,Recommended Action / Pitch Notes
4MET,105.7 Radio Metro,QLD,BUNDALL MAIL CENTRE,9726,Australia National (High Priority),music@radiometro.com.au,http://www.radiometro.com.au,Youth,Pitch directly to Music Department (music@radiometro.com.au) — Pitch directly to Music Director (music@radiometro.com.au) — Gold Coast youth station.
4CRM,4CRM 107.5 FM,QLD,MACKAY,4740,Australia National (High Priority),admin@4crm.com.au,http://www.4crm.com.au,General,Pitch directly to Music Department (admin@4crm.com.au) — Pitch directly to Music Team (admin@4crm.com.au) — Mackay regional broadcaster.
4ZZZ,4ZZZ,QLD,FORTITUDE VALLEY,4006,Australia National (High Priority),music@4zzz.org.au,http://www.4zzz.org.au,Educational/Specialised Music,Pitch directly to Music Department (music@4zzz.org.au) — Pitch directly to Music Coordinator (music@4zzz.org.au) — Legendary Brisbane alternative station. Has already spun Love Banana 7-inch. Perfect fit for 'Seagull'.
4RED,99.7 Bridge FM,QLD,REDCLIFFE,4020,Australia National (High Priority),music@997fm.com.au,http://www.997fm.com.au,General,Pitch directly to Music Department (music@997fm.com.au) — Pitch directly to Music Department (music@997fm.com.au) — Moreton Bay region station with good local music support.
4CCR,Cairns FM 89.1,QLD,MANUNDA,4870,Australia National (High Priority),music@cairnsfm891.org.au,http://www.cairnsfm891.org.au,General,Pitch directly to Music Department (music@cairnsfm891.org.au) — Pitch directly to Music Submissions (music@cairnsfm891.org.au) — Far North Queensland community broadcaster.
4FCR,Fraser Coast FM 107.5,QLD,HERVEY BAY,4655,Australia National (High Priority),music@frasercoast.fm,http://www.frasercoast.fm,General,Pitch directly to Music Department (music@frasercoast.fm) — Pitch directly to Music Coordinator (music@frasercoast.fm) — Fraser Coast / Hervey Bay community station.
4NSA,Noosa FM 101.3,QLD,NOOSA HEADS,4567,Australia National (High Priority),music@noosafm.org,http://www.noosafm.org/,General,Pitch directly to Music Department (music@noosafm.org) — Pitch directly to Music Director (music@noosafm.org) — Sunshine Coast community station. Sunny garage-pop vibes fit very well.
4BI,Switch Brisbane,QLD,Toowong,4066,Australia National (High Priority),music@switchbrisbane.com.au,https://switchbrisbane.com.au/,Youth,Pitch directly to Music Department (music@switchbrisbane.com.au) — Pitch directly to Music Director (music@switchbrisbane.com.au) — Brisbane's youth community station. Strong focus on emerging Aussie artists.
5CST,Adelaide's Coast FM 88.7,SA,GLANDORE,5037,Australia National (High Priority),info@coastfm.com.au,http://www.coastfm.com.au,General,Pitch directly to Music Department (info@coastfm.com.au) — Pitch directly to Music Department (info@coastfm.com.au) — Southern Adelaide community radio station.
5LCM,Lofty 88.9,SA,Totness,5250,Australia National (High Priority),music@lofty.org.au,http://lofty.org.au/,General,Pitch directly to Music Department (music@lofty.org.au) — Pitch directly to Music Submissions (music@lofty.org.au) — Adelaide Hills community radio. Loves independent Australian talent.
5PBA,PBA-FM,SA,SALISBURY,5108,Australia National (High Priority),pbafm@pbafm.org.au,http://www.pbafm.org.au/,General,Pitch directly to Music Department (pbafm@pbafm.org.au) — Pitch directly to Music Team (pbafm@pbafm.org.au) — Northern suburbs Adelaide community radio.
5UV,Radio Adelaide,SA,Eastwood,5063,Australia National (High Priority),music@radioadelaide.org.au,http://radioadelaide.org.au/,Educational,Pitch directly to Music Department (music@radioadelaide.org.au) — Pitch directly to Music Coordinator (music@radioadelaide.org.au) — Australia's first community station (est. 1972). Dedicated focus on indie and Australian music.
5DDD,Three D Radio,SA,STEPNEY,5069,Australia National (High Priority),music@threedradio.com,http://www.threedradio.com,Specialised Music,Pitch directly to Music Department (music@threedradio.com) — Pitch directly to Music Director / Submissions (music@threedradio.com) — One of Australia's purest independent alternative music stations. Minimum 40% Australian music policy. Admires Mikey Young.
,Tribe FM 91.1,SA,WILLUNGA,5172,Australia National (High Priority),music@tribefm.org.au,http://www.tribefm.org.au/,General,Pitch directly to Music Department (music@tribefm.org.au) — Pitch directly to Music Coordinator (music@tribefm.org.au) — Fleurieu Peninsula community station. Strong indie music enthusiast presenters.
5WOW,WOW FM 100.5,SA,SEMAPHORE,5019,Australia National (High Priority),admin@wowfm.org,https://wowfm.org/,General,Pitch directly to Music Department (admin@wowfm.org) — Pitch directly to Music Team (admin@wowfm.org) — Western suburbs / Port Adelaide community broadcaster.
7LTN,City Park Radio,TAS,LAUNCESTON,7250,Australia National (High Priority),cityparkradio@internode.on.net,http://www.cityparkradio.com,General,Pitch directly to Music Department (cityparkradio@internode.on.net) — Pitch directly to Music Submissions (cityparkradio@internode.on.net) — Northern Tasmania's primary community broadcaster.
7DBS,Coast FM,TAS,WYNYARD,7325,Australia National (High Priority),coastfm@coastfmtas.au,http://www.coastfmtas.au,General,Pitch directly to Music Department (coastfm@coastfmtas.au) — Pitch directly to Music Team (coastfm@coastfmtas.au) — North-West Tasmania community broadcaster.
7EDG,Edge Radio 99.3 FM,TAS,HOBART,7000,Australia National (High Priority),music@edgeradio.org.au,http://www.edgeradio.org.au,Youth,Pitch directly to Music Department (music@edgeradio.org.au) — Pitch directly to Music Director (music@edgeradio.org.au) — Hobart's youth and student broadcaster (Univ of Tasmania). Massive supporter of emerging Australian indie/garage sounds.
7THE,Hobart FM 96.1,TAS,Howrah,7018,Australia National (High Priority),hobartfm@hobartfm.org.au,http://www.hobartfm.org.au,General,Pitch directly to Music Department (hobartfm@hobartfm.org.au) — Pitch directly to Music Department (hobartfm@hobartfm.org.au) — Southern Tasmania community station.
3PFM,106.7 Phoenix FM Bendigo,VIC,CALIFORNIA GULLY,3556,Australia National (High Priority),info@phoenixfm.org.au,http://www.phoenixfm.org.au,General,Pitch directly to Music Department (info@phoenixfm.org.au) — Pitch directly to Music Team (info@phoenixfm.org.au) — Bendigo community radio.
3WAY,3 WAY FM Great Ocean Radio,VIC,WARRNAMBOOL,3280,Australia National (High Priority),info@3wayfm.org.au,http://www.3wayfm.org.au/,General,Pitch directly to Music Department (info@3wayfm.org.au) — Pitch directly to Music Submissions (info@3wayfm.org.au) — South West Victoria coastal community radio.
3BBR,3BBR-FM,VIC,DROUIN,3818,Australia National (High Priority),3bbrfm@3bbrfm.org.au,http://www.3bbrfm.org.au,General,Pitch directly to Music Department (3bbrfm@3bbrfm.org.au) — Pitch directly to Music Submissions (3bbrfm@3bbrfm.org.au) — West Gippsland community station.
3CR,3CR,VIC,COLLINGWOOD,3066,Australia National (High Priority),admin@3cr.org.au,http://www.3cr.org.au,Community Access,Pitch directly to Music Department (admin@3cr.org.au) — Pitch directly to Music & Programming (admin@3cr.org.au) — Long-running progressive community radio in Collingwood. Independent music shows.
3MDR,3MDR,VIC,UPWEY,3158,Australia National (High Priority),music@3mdr.com,http://www.3mdr.com,General,Pitch directly to Music Department (music@3mdr.com) — Pitch directly to Music Department (music@3mdr.com) — Mountain District Radio in the Dandenongs. Passionate community of music presenters championing Aussie releases.
3WBC,3WBC 94.1FM,VIC,Box Hill,3128,Australia National (High Priority),music@3wbc.org.au,http://www.3wbc.org.au,General,Pitch directly to Music Department (music@3wbc.org.au) — Pitch directly to Music Director (music@3wbc.org.au) — Inner Eastern Melbourne community station.
3SCB,88.3 Southern FM,VIC,BRIGHTON,3186,Australia National (High Priority),music@southernfm.com.au,http://www.southernfm.com.au/,General,Pitch directly to Music Department (music@southernfm.com.au) — Pitch directly to Music Director (music@southernfm.com.au) — Bayside Melbourne community station with dedicated local music programming.
3PLS,94.7 The Pulse,VIC,GEELONG,3220,Australia National (High Priority),music@947thepulse.com,http://www.947thepulse.com,General,Pitch directly to Music Department (music@947thepulse.com) — Pitch directly to Music Submissions (music@947thepulse.com) — Geelong community radio station. Active music programming for Greater Geelong and the Bellarine.
3SER,Casey Radio,VIC,CRANBOURNE,3977,Australia National (High Priority),music@caseyradio.com.au,http://www.caseyradio.com.au,General,Pitch directly to Music Department (music@caseyradio.com.au) — Pitch directly to Music Director (music@caseyradio.com.au) — South-East Melbourne community broadcaster.
3GCR,Gippsland FM,VIC,Morwell,3840,Australia National (High Priority),info@gippslandfm.org.au,http://www.gippslandfm.org.au,General,Pitch directly to Music Department (info@gippslandfm.org.au) — Pitch directly to Music Submissions (info@gippslandfm.org.au) — Serving Central and East Gippsland.
3CH,Highlands FM,VIC,WOODEND,3442,Australia National (High Priority),info@highlandsfm.org.au,http://www.highlandsfm.org.au,General,Pitch directly to Music Department (info@highlandsfm.org.au) — Pitch directly to Music Coordinator (info@highlandsfm.org.au) — Macedon Ranges community radio.
3JOY,JOY Media,VIC,St Kilda,3182,Australia National (High Priority),music@joy.org.au,http://www.joy.org.au,LGBTIQA+,"Pitch directly to Music Department (music@joy.org.au) — Pitch directly to Music Director (music@joy.org.au) — Australia's premier LGBTIQA+ broadcaster. Plays vibrant pop, indie-pop, and upbeat indie singles."
3CMR,MAINfm,VIC,CASTLEMAINE,3450,Australia National (High Priority),music@mainfm.net,http://mainfm.net/,General,Pitch directly to Music Department (music@mainfm.net) — Pitch directly to Music Coordinator (music@mainfm.net) — Castlemaine has one of the highest concentrations of indie musicians in regional Australia. MAINfm is revered by touring bands.
3OCR,OCR FM,VIC,COLAC,3250,Australia National (High Priority),admin@ocrfm.org.au,http://www.ocrfm.org.au/,General,Pitch directly to Music Department (admin@ocrfm.org.au) — Pitch directly to Music Department (admin@ocrfm.org.au) — Otway region community broadcaster.
3ONE,OneFM 98.5,VIC,SHEPPARTON,3632,Australia National (High Priority),admin@fm985.com.au,http://www.fm985.com.au/,General,Pitch directly to Music Department (admin@fm985.com.au) — Pitch directly to Music Submissions (admin@fm985.com.au) — Goulburn Valley community radio.
3PBS,PBS,VIC,FITZROY,3065,Australia National (High Priority),music@pbsfm.org.au,http://www.pbsfm.org.au,Specialised Music,Pitch directly to Music Department (music@pbsfm.org.au) — Pitch directly to Music Director (music@pbsfm.org.au) — Collingwood-based music powerhouse. Specialist programming has massive love for scuzzy rock & roll and garage pop.
3MFM,South Coast FM,VIC,WONTHAGGI,3995,Australia National (High Priority),info@southcoastfm.au,https://southcoastfm.au/,General,Pitch directly to Music Department (info@southcoastfm.au) — Pitch directly to Station Management (info@southcoastfm.au) — Bass Coast and South Gippsland.
3RRR,Triple R (3RRR),VIC,BRUNSWICK EAST,3057,Australia National (High Priority),music@rrr.org.au,http://www.rrr.org.au/,Educational,Pitch directly to Music Department (music@rrr.org.au) — Pitch directly to Music Coordinator (music@rrr.org.au) — The undisputed heavyweight of Australian independent music radio. Reaches over 1 million listeners. Mastered by Mikey Young is an instant selling point here.
3BBB,Voice FM,VIC,BALLARAT EAST,3350,Australia National (High Priority),music@voicefm.org.au,https://www.voicefm.org.au,General,Pitch directly to Music Department (music@voicefm.org.au) — Pitch directly to Music Team (music@voicefm.org.au) — Ballarat regional community broadcaster.
3VYV,Yarra Valley FM 99.1,VIC,HEALESVILLE,3777,Australia National (High Priority),music@yarravalleyfm.com,http://www.yarravalleyfm.com,General,Pitch directly to Music Department (music@yarravalleyfm.com) — Pitch directly to Music Director (music@yarravalleyfm.com) — Yarra Valley community broadcaster.
6HFM,107.3 HFM,WA,GOSNELLS,6990,Australia National (High Priority),music@hfm.radio,https://www.hfm.radio/,General,Pitch directly to Music Department (music@hfm.radio) — Pitch directly to Music Submissions (music@hfm.radio) — South-East Perth community radio.
6TCR,89 7FM,WA,JOONDALUP,6027,Australia National (High Priority),music@897fm.com.au,http://www.897fm.com.au/,General,Pitch directly to Music Department (music@897fm.com.au) — Pitch directly to Music Coordinator (music@897fm.com.au) — Perth northern suburbs community radio. High quota of Australian and independent tracks.
,Denmark FM,WA,Denmark,6333,Australia National (High Priority),info@denmarkfm.com.au,https://denmarkfm.com.au/,General,Pitch directly to Music Department (info@denmarkfm.com.au) — Pitch directly to Music Coordinator (info@denmarkfm.com.au) — Vibrant Great Southern coastal WA community radio.
6KCR,KCR 88.9FM,WA,GOOSEBERRY HILL,6076,Australia National (High Priority),music@kcr-fm.org.au,http://www.kcr-fm.org.au/,General,Pitch directly to Music Department (music@kcr-fm.org.au) — Pitch directly to Music Coordinator (music@kcr-fm.org.au) — Perth Hills community station.
6RMR,RMR 101.9,WA,Margaret River,6285,Australia National (High Priority),info@radiomargaretriver.com,https://www.radiomargaretriver.com/,General,Pitch directly to Music Department (info@radiomargaretriver.com) — Pitch directly to Music Director (info@radiomargaretriver.com) — Margaret River cultural hub. Loves beachy garage-pop and indie rock.
6RTR,RTR FM,WA,MOUNT LAWLEY,6929,Australia National (High Priority),music@rtrfm.com.au,http://www.rtrfm.com.au,Educational/Specialised Music,Pitch directly to Music Department (music@rtrfm.com.au) — Pitch directly to Music Director (music@rtrfm.com.au) — Western Australia's premier independent tastemaker. Critical airplay target for national indie credibility. Mikey Young master is huge here.
6CCR,Radio Fremantle,WA,HAMILTON HILL,6163,Australia National (High Priority),music@radiofremantle.com.au,https://www.radiofremantle.com.au/,General,Pitch directly to Music Department (music@radiofremantle.com.au) — Pitch directly to Music Department (music@radiofremantle.com.au) — Fremantle port city community station with deep roots in WA's legendary indie scene.
1XXR,2 Double X (2XX FM),ACT,CIVIC,2601,Australia National (High Priority),manager@2xxfm.org.au,https://www.2xxfm.org.au/get-involved/submit-music/,General,"Submit via form at: https://www.2xxfm.org.au/get-involved/submit-music/ — Accepts downloadable WAV, FLAC, or 320kbps MP3 via links (Dropbox/Drive). Requires short bio, genre, social links, and track details."
2RRR,2RRR - Your Local Sound,NSW,GLADESVILLE,1675,Australia National (High Priority),office@2rrr.org.au,https://www.dropbox.com/request/cUVsKyoL1kKsDznnW9d2,General,"Submit via form at: https://www.dropbox.com/request/cUVsKyoL1kKsDznnW9d2 — Upload MP3 only (Dropbox space is limited; WAVs are deleted). Format filename as: ""Love Banana - Seagull [A] (Garage Pop) (.mp3)""."
2BAY,BAYFM 99.9,NSW,BYRON BAY,2481,Australia National (High Priority),frontdesk@bayfm.org,https://www.bayfm.org/contact-us/,General,"Submit via form at: https://www.bayfm.org/contact-us/ — In the contact form, select ""Music"" in the Subject dropdown, specify your genre, and paste your EPK/streaming and download links in the message."
5FBI,Fresh 92.7,SA,ADELAIDE,5000,Australia National (High Priority),music@fresh927.com.au,https://fresh927.com.au/music/submit-music/,Youth,"Submit via form at: https://fresh927.com.au/music/submit-music/ — Upload track metadata, streaming link, download link, and bio via the online portal."
3SYN,SYN Media,VIC,ABECKETT STREET,8006,Australia National (High Priority),music@syn.org.au,https://syn.org.au/music-submissions/,Youth,"Submit via form at: https://syn.org.au/music-submissions/ — Enter track name, artist, streaming link, download link (WAV/MP3), and bio. Programs their weekly Sweet 16 and high rotation playlists."
